trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000091831_IRNT_height,14.6114,0,ENSG00000091831,IRNT_height
ENSG00000096968_IRNT_RBC,9.35966,1,ENSG00000096968,IRNT_RBC
ENSG00000099364_IRNT_height,8.65925,0,ENSG00000099364,IRNT_height
ENSG00000099364_IRNT_SBP,10.462,0,ENSG00000099364,IRNT_SBP
ENSG00000099769_IRNT_height,11.8357,0,ENSG00000099769,IRNT_height
ENSG00000101076_T2D,8.72102,1,ENSG00000101076,T2D
ENSG00000101347_IRNT_height,10.2593,0,ENSG00000101347,IRNT_height
ENSG00000101665_IRNT_height,7.4332,0,ENSG00000101665,IRNT_height
ENSG00000101665_ZBMD,7.16895,0,ENSG00000101665,ZBMD
ENSG00000101752_ZBMD,8.21382,0,ENSG00000101752,ZBMD
ENSG00000102595_IRNT_height,8.23122,0,ENSG00000102595,IRNT_height
ENSG00000102893_IRNT_height,8.89237,1,ENSG00000102893,IRNT_height
ENSG00000103024_Atrial_fibrillation,7.78182,0,ENSG00000103024,Atrial_fibrillation
ENSG00000103126_IRNT_height,10.754,0,ENSG00000103126,IRNT_height
ENSG00000103196_IRNT_height,28.5526,0,ENSG00000103196,IRNT_height
ENSG00000103335_IRNT_height,32.7758,0,ENSG00000103335,IRNT_height
ENSG00000103335_IRNT_RBC,16.4442,0,ENSG00000103335,IRNT_RBC
ENSG00000103335_ZBMD,9.07198,0,ENSG00000103335,ZBMD
ENSG00000103381_IRNT_height,8.86945,0,ENSG00000103381,IRNT_height
ENSG00000104866_IRNT_LDL,15.0331,0,ENSG00000104866,IRNT_LDL
ENSG00000104870_IRNT_Ca,65.663,0,ENSG00000104870,IRNT_Ca
ENSG00000104870_IRNT_RBC,11.4831,0,ENSG00000104870,IRNT_RBC
ENSG00000105186_IRNT_BMI,7.02691,0,ENSG00000105186,IRNT_BMI
ENSG00000105472_IRNT_height,10.069,0,ENSG00000105472,IRNT_height
ENSG00000105610_IRNT_RBC,8.69741,1,ENSG00000105610,IRNT_RBC
ENSG00000105810_IRNT_height,8.2078,0,ENSG00000105810,IRNT_height
ENSG00000106034_ZBMD,8.44727,0,ENSG00000106034,ZBMD
ENSG00000106266_IRNT_Ca,7.46466,0,ENSG00000106266,IRNT_Ca
ENSG00000106266_IRNT_LDL,8.76262,0,ENSG00000106266,IRNT_LDL
ENSG00000106327_IRNT_RBC,22.9886,0,ENSG00000106327,IRNT_RBC
ENSG00000106384_IRNT_RBC,7.5392,0,ENSG00000106384,IRNT_RBC
ENSG00000106571_IRNT_height,15.1442,0,ENSG00000106571,IRNT_height
ENSG00000106624_IRNT_height,8.60364,0,ENSG00000106624,IRNT_height
ENSG00000106633_IRNT_glu,42.3721,1,ENSG00000106633,IRNT_glu
ENSG00000106633_T2D,26.9761,1,ENSG00000106633,T2D
ENSG00000106819_IRNT_height,8.1611,0,ENSG00000106819,IRNT_height
ENSG00000108821_IRNT_height,8.12298,0,ENSG00000108821,IRNT_height
ENSG00000108846_IRNT_biliru,9.44256,0,ENSG00000108846,IRNT_biliru
ENSG00000109625_IRNT_height,7.17665,0,ENSG00000109625,IRNT_height
ENSG00000110090_IRNT_height,8.29552,0,ENSG00000110090,IRNT_height
ENSG00000110090_ZBMD,11.3721,0,ENSG00000110090,ZBMD
ENSG00000110243_IRNT_TG,62.377,1,ENSG00000110243,IRNT_TG
ENSG00000110245_IRNT_LDL,19.5894,0,ENSG00000110245,IRNT_LDL
ENSG00000110245_IRNT_TG,819.769,0,ENSG00000110245,IRNT_TG
ENSG00000111252_IRNT_biliru,9.51002,0,ENSG00000111252,IRNT_biliru
ENSG00000111252_IRNT_LDL,12.0613,0,ENSG00000111252,IRNT_LDL
ENSG00000111252_IRNT_RBC,27.3252,1,ENSG00000111252,IRNT_RBC
ENSG00000111700_IRNT_biliru,135.689,0,ENSG00000111700,IRNT_biliru
ENSG00000112659_IRNT_height,7.04202,0,ENSG00000112659,IRNT_height
ENSG00000112964_IRNT_height,8.25205,1,ENSG00000112964,IRNT_height
ENSG00000112977_IRNT_height,7.82121,0,ENSG00000112977,IRNT_height
ENSG00000113140_IRNT_BMI,9.35723,0,ENSG00000113140,IRNT_BMI
ENSG00000113161_IRNT_LDL,7.6562,1,ENSG00000113161,IRNT_LDL
