trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000106819_IRNT_height,9.51372,0,ENSG00000106819,IRNT_height
ENSG00000106868_IRNT_RBC,8.87928,0,ENSG00000106868,IRNT_RBC
ENSG00000107625_IRNT_height,7.09387,0,ENSG00000107625,IRNT_height
ENSG00000108821_IRNT_height,10.248,0,ENSG00000108821,IRNT_height
ENSG00000108821_ZBMD,11.3515,1,ENSG00000108821,ZBMD
ENSG00000108846_IRNT_biliru,11.8726,0,ENSG00000108846,IRNT_biliru
ENSG00000108854_IRNT_height,11.703,0,ENSG00000108854,IRNT_height
ENSG00000109625_IRNT_height,9.45122,0,ENSG00000109625,IRNT_height
ENSG00000110243_IRNT_TG,65.1976,1,ENSG00000110243,IRNT_TG
ENSG00000110245_IRNT_LDL,17.7972,0,ENSG00000110245,IRNT_LDL
ENSG00000110245_IRNT_TG,777.703,0,ENSG00000110245,IRNT_TG
ENSG00000111186_ZBMD,7.27972,0,ENSG00000111186,ZBMD
ENSG00000111252_IRNT_biliru,10.6057,0,ENSG00000111252,IRNT_biliru
ENSG00000111252_IRNT_LDL,7.31655,0,ENSG00000111252,IRNT_LDL
ENSG00000111252_IRNT_RBC,27.0258,1,ENSG00000111252,IRNT_RBC
ENSG00000111700_IRNT_biliru,138.977,0,ENSG00000111700,IRNT_biliru
ENSG00000112406_IRNT_height,7.02115,0,ENSG00000112406,IRNT_height
ENSG00000112964_IRNT_height,12.659,1,ENSG00000112964,IRNT_height
ENSG00000112977_IRNT_height,7.99746,0,ENSG00000112977,IRNT_height
ENSG00000113161_IRNT_LDL,8.98112,1,ENSG00000113161,IRNT_LDL
ENSG00000113389_IRNT_height,31.8435,0,ENSG00000113389,IRNT_height
ENSG00000113597_IRNT_height,8.71593,0,ENSG00000113597,IRNT_height
ENSG00000113739_IRNT_height,46.705,0,ENSG00000113739,IRNT_height
ENSG00000114650_IRNT_height,9.55381,0,ENSG00000114650,IRNT_height
ENSG00000115234_IRNT_TG,7.16616,0,ENSG00000115234,IRNT_TG
ENSG00000115524_IRNT_RBC,28.3146,0,ENSG00000115524,IRNT_RBC
ENSG00000116183_IRNT_height,12.1461,0,ENSG00000116183,IRNT_height
ENSG00000118702_IRNT_height,20.2127,0,ENSG00000118702,IRNT_height
ENSG00000119574_IRNT_height,9.81403,0,ENSG00000119574,IRNT_height
ENSG00000119699_IRNT_height,9.1252,0,ENSG00000119699,IRNT_height
ENSG00000121005_IRNT_height,31.1769,0,ENSG00000121005,IRNT_height
ENSG00000121853_IRNT_height,19.0583,0,ENSG00000121853,IRNT_height
ENSG00000122729_IRNT_RBC,23.8761,0,ENSG00000122729,IRNT_RBC
ENSG00000122884_IRNT_height,7.11796,0,ENSG00000122884,IRNT_height
ENSG00000123454_hypertension,8.19117,0,ENSG00000123454,hypertension
ENSG00000123454_IRNT_DBP,15.6939,0,ENSG00000123454,IRNT_DBP
