trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000101076_T2D,7.60307,1,ENSG00000101076,T2D
ENSG00000101347_IRNT_height,9.13811,0,ENSG00000101347,IRNT_height
ENSG00000102595_IRNT_height,10.5997,0,ENSG00000102595,IRNT_height
ENSG00000102893_IRNT_height,10.3168,1,ENSG00000102893,IRNT_height
ENSG00000103024_Atrial_fibrillation,7.26314,0,ENSG00000103024,Atrial_fibrillation
ENSG00000103196_IRNT_height,44.3814,0,ENSG00000103196,IRNT_height
ENSG00000103335_IRNT_biliru,10.2481,0,ENSG00000103335,IRNT_biliru
ENSG00000103335_IRNT_height,49.1223,0,ENSG00000103335,IRNT_height
ENSG00000103335_IRNT_RBC,14.3868,0,ENSG00000103335,IRNT_RBC
ENSG00000103335_ZBMD,9.30582,0,ENSG00000103335,ZBMD
ENSG00000104870_IRNT_Ca,13.2957,0,ENSG00000104870,IRNT_Ca
ENSG00000104870_IRNT_RBC,7.81189,0,ENSG00000104870,IRNT_RBC
ENSG00000105472_IRNT_height,10.1312,0,ENSG00000105472,IRNT_height
ENSG00000105610_IRNT_RBC,11.0389,1,ENSG00000105610,IRNT_RBC
ENSG00000105707_IRNT_Ca,6.9949,0,ENSG00000105707,IRNT_Ca
ENSG00000106266_IRNT_Ca,9.27227,0,ENSG00000106266,IRNT_Ca
ENSG00000106266_IRNT_height,7.28076,0,ENSG00000106266,IRNT_height
ENSG00000106266_IRNT_LDL,12.8984,0,ENSG00000106266,IRNT_LDL
ENSG00000106266_IRNT_RBC,7.58502,0,ENSG00000106266,IRNT_RBC
ENSG00000106327_IRNT_RBC,9.71125,0,ENSG00000106327,IRNT_RBC
ENSG00000106624_IRNT_height,7.77748,0,ENSG00000106624,IRNT_height
ENSG00000106633_IRNT_glu,68.5748,1,ENSG00000106633,IRNT_glu
ENSG00000106633_IRNT_LDL,8.4532,0,ENSG00000106633,IRNT_LDL
ENSG00000106633_T2D,34.5154,1,ENSG00000106633,T2D
ENSG00000106819_IRNT_height,10.4726,0,ENSG00000106819,IRNT_height
ENSG00000107404_ZBMD,7.06342,0,ENSG00000107404,ZBMD
ENSG00000108582_IRNT_height,8.21322,0,ENSG00000108582,IRNT_height
ENSG00000108799_IRNT_height,7.09046,0,ENSG00000108799,IRNT_height
ENSG00000108821_IRNT_height,7.53823,0,ENSG00000108821,IRNT_height
ENSG00000108821_ZBMD,7.6158,1,ENSG00000108821,ZBMD
ENSG00000109458_IRNT_height,7.42975,0,ENSG00000109458,IRNT_height
ENSG00000109625_IRNT_height,10.8916,0,ENSG00000109625,IRNT_height
ENSG00000110243_IRNT_TG,68.6453,1,ENSG00000110243,IRNT_TG
ENSG00000110245_IRNT_LDL,18.4215,0,ENSG00000110245,IRNT_LDL
ENSG00000110245_IRNT_TG,784.768,0,ENSG00000110245,IRNT_TG
ENSG00000111186_ZBMD,8.43766,0,ENSG00000111186,ZBMD
ENSG00000111252_IRNT_biliru,12.3917,0,ENSG00000111252,IRNT_biliru
ENSG00000111252_IRNT_LDL,8.2118,0,ENSG00000111252,IRNT_LDL
ENSG00000111252_IRNT_RBC,32.1701,1,ENSG00000111252,IRNT_RBC
ENSG00000111700_IRNT_biliru,137.96,0,ENSG00000111700,IRNT_biliru
ENSG00000112038_IRNT_height,7.21436,0,ENSG00000112038,IRNT_height
ENSG00000112964_IRNT_height,10.5553,1,ENSG00000112964,IRNT_height
ENSG00000112977_IRNT_height,7.99428,0,ENSG00000112977,IRNT_height
ENSG00000113389_IRNT_height,28.4807,0,ENSG00000113389,IRNT_height
ENSG00000113597_IRNT_height,8.69718,0,ENSG00000113597,IRNT_height
ENSG00000113739_IRNT_height,46.731,0,ENSG00000113739,IRNT_height
ENSG00000114650_IRNT_height,8.78294,0,ENSG00000114650,IRNT_height
ENSG00000115524_IRNT_RBC,25.4915,0,ENSG00000115524,IRNT_RBC
ENSG00000115827_ZBMD,7.69833,0,ENSG00000115827,ZBMD
ENSG00000116183_IRNT_height,9.58041,0,ENSG00000116183,IRNT_height
ENSG00000118702_IRNT_height,19.1648,0,ENSG00000118702,IRNT_height
