"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000107404_ZBMD",7.06342,0,"ENSG00000107404","ebmd"
"ENSG00000108582_IRNT_height",8.21322,0,"ENSG00000108582","height"
"ENSG00000108799_IRNT_height",7.09046,0,"ENSG00000108799","height"
"ENSG00000108821_IRNT_height",7.53823,0,"ENSG00000108821","height"
"ENSG00000108821_ZBMD",7.6158,1,"ENSG00000108821","ebmd"
"ENSG00000109458_IRNT_height",7.42975,0,"ENSG00000109458","height"
"ENSG00000109625_IRNT_height",10.8916,0,"ENSG00000109625","height"
"ENSG00000110243_IRNT_TG",68.6453,1,"ENSG00000110243","tg"
"ENSG00000110245_IRNT_LDL",18.4215,0,"ENSG00000110245","ldl"
"ENSG00000110245_IRNT_TG",784.768,0,"ENSG00000110245","tg"
"ENSG00000111186_ZBMD",8.43766,0,"ENSG00000111186","ebmd"
"ENSG00000111252_IRNT_biliru",12.3917,0,"ENSG00000111252","dbilirubin"
"ENSG00000111252_IRNT_LDL",8.2118,0,"ENSG00000111252","ldl"
"ENSG00000111252_IRNT_RBC",32.1701,1,"ENSG00000111252","rbc"
"ENSG00000111700_IRNT_biliru",137.96,0,"ENSG00000111700","dbilirubin"
"ENSG00000112038_IRNT_height",7.21436,0,"ENSG00000112038","height"
"ENSG00000112964_IRNT_height",10.5553,1,"ENSG00000112964","height"
"ENSG00000112977_IRNT_height",7.99428,0,"ENSG00000112977","height"
"ENSG00000113389_IRNT_height",28.4807,0,"ENSG00000113389","height"
"ENSG00000113597_IRNT_height",8.69718,0,"ENSG00000113597","height"
"ENSG00000113739_IRNT_height",46.731,0,"ENSG00000113739","height"
"ENSG00000114650_IRNT_height",8.78294,0,"ENSG00000114650","height"
"ENSG00000115524_IRNT_RBC",25.4915,0,"ENSG00000115524","rbc"
"ENSG00000115827_ZBMD",7.69833,0,"ENSG00000115827","ebmd"
"ENSG00000116183_IRNT_height",9.58041,0,"ENSG00000116183","height"
"ENSG00000118702_IRNT_height",19.1648,0,"ENSG00000118702","height"
"ENSG00000119681_IRNT_height",9.05924,1,"ENSG00000119681","height"
"ENSG00000119699_IRNT_height",8.06718,0,"ENSG00000119699","height"
"ENSG00000120833_IRNT_height",8.19225,0,"ENSG00000120833","height"
"ENSG00000120889_IRNT_TG",8.09716,0,"ENSG00000120889","tg"
"ENSG00000121005_IRNT_height",34.089,0,"ENSG00000121005","height"
"ENSG00000121853_IRNT_height",11.1065,0,"ENSG00000121853","height"
"ENSG00000122729_IRNT_RBC",24.6607,0,"ENSG00000122729","rbc"
"ENSG00000122884_IRNT_height",7.09739,0,"ENSG00000122884","height"
"ENSG00000123454_hypertension",8.61107,0,"ENSG00000123454","Hypertension"
"ENSG00000123454_IRNT_DBP",17.1346,0,"ENSG00000123454","dbp"
"ENSG00000123454_IRNT_SBP",11.5688,0,"ENSG00000123454","sbp"
"ENSG00000123505_IRNT_height",8.33341,0,"ENSG00000123505","height"
"ENSG00000123739_IRNT_height",7.22839,0,"ENSG00000123739","height"
"ENSG00000123739_IRNT_TG",52.4619,0,"ENSG00000123739","tg"
"ENSG00000124089_IRNT_height",8.091,0,"ENSG00000124089","height"
"ENSG00000124749_IRNT_SBP",22.9917,0,"ENSG00000124749","sbp"
"ENSG00000124827_IRNT_Ca",16.073,0,"ENSG00000124827","calcium"
"ENSG00000125084_ZBMD",24.5821,1,"ENSG00000125084","ebmd"
"ENSG00000125844_IRNT_LDL",11.1968,0,"ENSG00000125844","ldl"
"ENSG00000126461_IRNT_Ca",8.35485,0,"ENSG00000126461","calcium"
"ENSG00000128655_IRNT_height",8.34358,0,"ENSG00000128655","height"
"ENSG00000129173_IRNT_RBC",13.3986,0,"ENSG00000129173","rbc"
"ENSG00000130164_Hypercholesterolemia",40.2939,1,"ENSG00000130164","Disorders of lipoid metabolism"
"ENSG00000130164_IRNT_LDL",62.1975,1,"ENSG00000130164","ldl"
"ENSG00000130173_IRNT_TG",29.5072,0,"ENSG00000130173","tg"
"ENSG00000131459_IRNT_height",11.1549,0,"ENSG00000131459","height"
"ENSG00000131482_IRNT_Ca",6.91104,0,"ENSG00000131482","calcium"
"ENSG00000131482_IRNT_TG",18.9004,0,"ENSG00000131482","tg"
"ENSG00000131759_IRNT_TG",6.91008,0,"ENSG00000131759","tg"
"ENSG00000131873_IRNT_height",7.9156,0,"ENSG00000131873","height"
"ENSG00000132170_IRNT_TG",11.2948,0,"ENSG00000132170","tg"
"ENSG00000132855_Hypercholesterolemia",9.05123,0,"ENSG00000132855","Disorders of lipoid metabolism"
"ENSG00000132855_IRNT_LDL",41.3341,1,"ENSG00000132855","ldl"
"ENSG00000132855_IRNT_TG",135.234,1,"ENSG00000132855","tg"
"ENSG00000134013_IRNT_height",11.4462,0,"ENSG00000134013","height"
"ENSG00000134538_IRNT_biliru",39.5595,0,"ENSG00000134538","dbilirubin"
"ENSG00000135100_T2D",9.46647,1,"ENSG00000135100","Diabetes mellitus"
"ENSG00000135517_Cataract",31.9485,1,"ENSG00000135517","Cataract"
"ENSG00000135686_IRNT_TG",8.91829,0,"ENSG00000135686","tg"
"ENSG00000135766_IRNT_RBC",7.3662,1,"ENSG00000135766","rbc"
"ENSG00000136068_IRNT_height",19.1462,1,"ENSG00000136068","height"
"ENSG00000136542_IRNT_height",8.90663,0,"ENSG00000136542","height"
"ENSG00000136542_ZBMD",7.64232,0,"ENSG00000136542","ebmd"
"ENSG00000136859_IRNT_height",24.2595,0,"ENSG00000136859","height"
"ENSG00000137198_IRNT_RBC",16.5863,0,"ENSG00000137198","rbc"
"ENSG00000137310_IRNT_height",7.01351,0,"ENSG00000137310","height"
"ENSG00000137834_IRNT_RBC",7.29713,0,"ENSG00000137834","rbc"
"ENSG00000137834_IRNT_SBP",6.94578,0,"ENSG00000137834","sbp"
"ENSG00000137834_ZBMD",17.2297,0,"ENSG00000137834","ebmd"
"ENSG00000137869_ZBMD",6.98201,0,"ENSG00000137869","ebmd"
"ENSG00000138075_IRNT_LDL",22.5168,0,"ENSG00000138075","ldl"
"ENSG00000138078_IRNT_height",7.17594,0,"ENSG00000138078","height"
"ENSG00000138336_IRNT_height",17.7691,0,"ENSG00000138336","height"
"ENSG00000138685_IRNT_height",16.8399,0,"ENSG00000138685","height"
"ENSG00000138735_IRNT_height",7.52802,0,"ENSG00000138735","height"
"ENSG00000139044_IRNT_height",14.361,0,"ENSG00000139044","height"
