"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000084674_Hypercholesterolemia",8.73822,1,"ENSG00000084674","Disorders of lipoid metabolism"
"ENSG00000084674_IRNT_biliru",9.35778,0,"ENSG00000084674","dbilirubin"
"ENSG00000084674_IRNT_LDL",82.5858,1,"ENSG00000084674","ldl"
"ENSG00000084674_IRNT_TG",49.9151,1,"ENSG00000084674","tg"
"ENSG00000084734_IRNT_TG",14.8902,0,"ENSG00000084734","tg"
"ENSG00000085978_IRNT_biliru",9.80067,0,"ENSG00000085978","dbilirubin"
"ENSG00000085982_IRNT_biliru",18.9673,0,"ENSG00000085982","dbilirubin"
"ENSG00000086991_IRNT_height",16.1579,0,"ENSG00000086991","height"
"ENSG00000086991_IRNT_SBP",9.03421,0,"ENSG00000086991","sbp"
"ENSG00000087237_IRNT_LDL",7.25896,0,"ENSG00000087237","ldl"
"ENSG00000088826_IRNT_height",7.5067,0,"ENSG00000088826","height"
"ENSG00000090905_IRNT_height",7.15496,0,"ENSG00000090905","height"
"ENSG00000091831_IRNT_height",14.6114,0,"ENSG00000091831","height"
"ENSG00000096968_IRNT_RBC",9.35966,1,"ENSG00000096968","rbc"
"ENSG00000099364_IRNT_height",8.65925,0,"ENSG00000099364","height"
"ENSG00000099364_IRNT_SBP",10.462,0,"ENSG00000099364","sbp"
"ENSG00000099769_IRNT_height",11.8357,0,"ENSG00000099769","height"
"ENSG00000101076_T2D",8.72102,1,"ENSG00000101076","Diabetes mellitus"
"ENSG00000101347_IRNT_height",10.2593,0,"ENSG00000101347","height"
"ENSG00000101665_IRNT_height",7.4332,0,"ENSG00000101665","height"
"ENSG00000101665_ZBMD",7.16895,0,"ENSG00000101665","ebmd"
"ENSG00000101752_ZBMD",8.21382,0,"ENSG00000101752","ebmd"
"ENSG00000102595_IRNT_height",8.23122,0,"ENSG00000102595","height"
"ENSG00000102893_IRNT_height",8.89237,1,"ENSG00000102893","height"
"ENSG00000103024_Atrial_fibrillation",7.78182,0,"ENSG00000103024","Cardiac dysrhythmias"
"ENSG00000103126_IRNT_height",10.754,0,"ENSG00000103126","height"
"ENSG00000103196_IRNT_height",28.5526,0,"ENSG00000103196","height"
"ENSG00000103335_IRNT_height",32.7758,0,"ENSG00000103335","height"
"ENSG00000103335_IRNT_RBC",16.4442,0,"ENSG00000103335","rbc"
"ENSG00000103335_ZBMD",9.07198,0,"ENSG00000103335","ebmd"
"ENSG00000103381_IRNT_height",8.86945,0,"ENSG00000103381","height"
"ENSG00000104866_IRNT_LDL",15.0331,0,"ENSG00000104866","ldl"
"ENSG00000104870_IRNT_Ca",65.663,0,"ENSG00000104870","calcium"
"ENSG00000104870_IRNT_RBC",11.4831,0,"ENSG00000104870","rbc"
"ENSG00000105186_IRNT_BMI",7.02691,0,"ENSG00000105186","BMI"
"ENSG00000105472_IRNT_height",10.069,0,"ENSG00000105472","height"
"ENSG00000105610_IRNT_RBC",8.69741,1,"ENSG00000105610","rbc"
"ENSG00000105810_IRNT_height",8.2078,0,"ENSG00000105810","height"
"ENSG00000106034_ZBMD",8.44727,0,"ENSG00000106034","ebmd"
"ENSG00000106266_IRNT_Ca",7.46466,0,"ENSG00000106266","calcium"
"ENSG00000106266_IRNT_LDL",8.76262,0,"ENSG00000106266","ldl"
"ENSG00000106327_IRNT_RBC",22.9886,0,"ENSG00000106327","rbc"
"ENSG00000106384_IRNT_RBC",7.5392,0,"ENSG00000106384","rbc"
"ENSG00000106571_IRNT_height",15.1442,0,"ENSG00000106571","height"
"ENSG00000106624_IRNT_height",8.60364,0,"ENSG00000106624","height"
"ENSG00000106633_IRNT_glu",42.3721,1,"ENSG00000106633","glucose"
"ENSG00000106633_T2D",26.9761,1,"ENSG00000106633","Diabetes mellitus"
"ENSG00000106819_IRNT_height",8.1611,0,"ENSG00000106819","height"
"ENSG00000108821_IRNT_height",8.12298,0,"ENSG00000108821","height"
"ENSG00000108846_IRNT_biliru",9.44256,0,"ENSG00000108846","dbilirubin"
"ENSG00000109625_IRNT_height",7.17665,0,"ENSG00000109625","height"
"ENSG00000110090_IRNT_height",8.29552,0,"ENSG00000110090","height"
"ENSG00000110090_ZBMD",11.3721,0,"ENSG00000110090","ebmd"
"ENSG00000110243_IRNT_TG",62.377,1,"ENSG00000110243","tg"
"ENSG00000110245_IRNT_LDL",19.5894,0,"ENSG00000110245","ldl"
"ENSG00000110245_IRNT_TG",819.769,0,"ENSG00000110245","tg"
"ENSG00000111252_IRNT_biliru",9.51002,0,"ENSG00000111252","dbilirubin"
"ENSG00000111252_IRNT_LDL",12.0613,0,"ENSG00000111252","ldl"
"ENSG00000111252_IRNT_RBC",27.3252,1,"ENSG00000111252","rbc"
"ENSG00000111700_IRNT_biliru",135.689,0,"ENSG00000111700","dbilirubin"
"ENSG00000112659_IRNT_height",7.04202,0,"ENSG00000112659","height"
"ENSG00000112964_IRNT_height",8.25205,1,"ENSG00000112964","height"
"ENSG00000112977_IRNT_height",7.82121,0,"ENSG00000112977","height"
"ENSG00000113140_IRNT_BMI",9.35723,0,"ENSG00000113140","BMI"
"ENSG00000113161_IRNT_LDL",7.6562,1,"ENSG00000113161","ldl"
"ENSG00000113389_IRNT_height",56.1889,0,"ENSG00000113389","height"
"ENSG00000113597_IRNT_height",8.71902,0,"ENSG00000113597","height"
"ENSG00000113739_IRNT_height",48.4485,0,"ENSG00000113739","height"
"ENSG00000114650_IRNT_RBC",7.18687,0,"ENSG00000114650","rbc"
"ENSG00000114841_IRNT_TG",6.9371,0,"ENSG00000114841","tg"
"ENSG00000115234_IRNT_TG",10.8192,0,"ENSG00000115234","tg"
"ENSG00000115310_ZBMD",10.231,0,"ENSG00000115310","ebmd"
"ENSG00000115657_IRNT_height",13.4416,0,"ENSG00000115657","height"
"ENSG00000115827_ZBMD",9.25415,0,"ENSG00000115827","ebmd"
"ENSG00000116183_IRNT_height",8.96999,0,"ENSG00000116183","height"
"ENSG00000116698_IRNT_height",9.84991,0,"ENSG00000116698","height"
"ENSG00000118137_IRNT_TG",11.596,0,"ENSG00000118137","tg"
"ENSG00000118702_IRNT_height",19.6373,0,"ENSG00000118702","height"
"ENSG00000120889_IRNT_TG",7.62216,0,"ENSG00000120889","tg"
"ENSG00000121005_IRNT_height",22.5985,0,"ENSG00000121005","height"
"ENSG00000121281_IRNT_RBC",7.28214,0,"ENSG00000121281","rbc"
"ENSG00000121853_IRNT_height",12.3112,0,"ENSG00000121853","height"
"ENSG00000122406_IRNT_height",24.5579,0,"ENSG00000122406","height"
"ENSG00000122729_IRNT_RBC",15.1185,0,"ENSG00000122729","rbc"
"ENSG00000123454_hypertension",8.99026,0,"ENSG00000123454","Hypertension"
"ENSG00000123454_IRNT_DBP",16.8615,0,"ENSG00000123454","dbp"
"ENSG00000123454_IRNT_SBP",13.0229,0,"ENSG00000123454","sbp"
"ENSG00000123505_IRNT_height",7.20217,0,"ENSG00000123505","height"
"ENSG00000123739_IRNT_height",7.70706,0,"ENSG00000123739","height"
"ENSG00000123739_IRNT_TG",52.7793,0,"ENSG00000123739","tg"
"ENSG00000123892_IRNT_Ca",16.3189,0,"ENSG00000123892","calcium"
"ENSG00000124089_IRNT_height",9.87004,0,"ENSG00000124089","height"
